date,location,link
"February 16, 2013","London, England, United Kingdom",http://www.ufcstats.com/event-details/4679a38cced7c64a
"February 02, 2013","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/601cf40c09090853
"January 26, 2013","Chicago, Illinois, USA",http://www.ufcstats.com/event-details/738acab0c6934dd8
"February 23, 2013","Anaheim, California, USA",http://www.ufcstats.com/event-details/09c44b317c98bf96
"March 02, 2013","Saitama, Japan",http://www.ufcstats.com/event-details/83c6c3e0f8bde8ee
"April 13, 2013","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/ce47f49e5c386a9c
"March 16, 2013","Montreal, Quebec, Canada",http://www.ufcstats.com/event-details/f1b2a4365799c48b
"April 20, 2013","San Jose, California, USA",http://www.ufcstats.com/event-details/aa79d5399571068e
"April 27, 2013","Newark, New Jersey, USA",http://www.ufcstats.com/event-details/ea0ad155451ed1f5
"April 06, 2013","Stockholm, Sweden",http://www.ufcstats.com/event-details/6291ac0a3726732f
"July 06, 2013","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e0b74df14f52cd15
"June 08, 2013","Fortaleza, Ceara, Brazil",http://www.ufcstats.com/event-details/7865707fd684d77b
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",http://www.ufcstats.com/event-details/030f08370fd1c2bb
"June 15, 2013","Winnipeg, Manitoba, Canada",http://www.ufcstats.com/event-details/8fd1f27e86661ede
"July 27, 2013","Seattle, Washington, USA",http://www.ufcstats.com/event-details/5330fe7e4c3af81c
"August 03, 2013","Rio de Janeiro, Brazil",http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
"May 25, 2013","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3c241737a6069b9f
"August 17, 2013","Boston, Massachusetts, USA",http://www.ufcstats.com/event-details/cf1a88371c8cb690
"August 28, 2013","Indianapolis, Indiana, USA",http://www.ufcstats.com/event-details/e5c38954c006f15c
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",http://www.ufcstats.com/event-details/b23fca14c7b79935
"August 31, 2013","Milwaukee, Wisconsin, USA",http://www.ufcstats.com/event-details/980b4e712489098e
"September 21, 2013","Toronto, Ontario, Canada",http://www.ufcstats.com/event-details/df5a77121ba84a5d
"October 09, 2013","Barueri, Sao Paulo, Brazil",http://www.ufcstats.com/event-details/43612456979e5d5e
"November 09, 2013","Goiania, Goias, Brazil",http://www.ufcstats.com/event-details/5d7c18191b8aa432
"October 26, 2013","Manchester, England, United Kingdom",http://www.ufcstats.com/event-details/60884f31ead1609c
"November 06, 2013","Fort Campbell, Kentucky, USA",http://www.ufcstats.com/event-details/35dc6220b113b7ec
"October 19, 2013","Houston, Texas, USA",http://www.ufcstats.com/event-details/eae4aec1a5a8ff01
"November 30, 2013","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/9a967e8e43dcef63
"November 16, 2013","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/28f3c2258a1d8874
"December 06, 2013","Brisbane, Queensland, Australia",http://www.ufcstats.com/event-details/ee457ef1e1c326c1
"January 04, 2014","Singapore, Singapore",http://www.ufcstats.com/event-details/e5c9de15bb58b1c6
"December 28, 2013","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/83d0de122f2f9664
"December 14, 2013","Sacramento, California, USA",http://www.ufcstats.com/event-details/480b702debcb5433
