date,location,poss_winner,poss_loser
"6' 1""",230 lbs.,Jason Fairn,Guy Mezger
--,--,John Dowdy,Guy Mezger
"6' 0""",200 lbs.,Christophe Leninger,Guy Mezger
"August 27, 2000","Saitama, Japan",Kazushi Sakuraba,Renzo Gracie
"September 15, 2020","Las Vegas, Nevada, USA",Jordan Williams,Gregory Rodrigues
"6' 2""",185 lbs.,Buddy Roberts,Yushin Okami
"5' 9""",145 lbs.,Muhammad Naimov,Collin Anglin
"November 19, 2010","Jackson, Mississippi, USA",Justin Wilcox,Vitor Ribeiro
"6' 0""",185 lbs.,Jeremiah Riggs,Jason Sharp
"6' 0""",170 lbs.,Steve Byrnes,Logan Clark
"March 29, 2008","San Jose, California, USA",Billy Evangelista,Marlon Sims
"May 23, 2004","Yokohama, Kanagawa, Japan",Ryan Gracie,Ikuhisa Minowa
"5' 9""",155 lbs.,Kenneth Alexander,Rob McCullough
"October 31, 2004","Saitama, Japan",Wanderlei Silva,Quinton Jackson
"6' 4""",265 lbs.,Soa Palelei,Antonio Silva
"December 31, 2004","Saitama, Japan",Fedor Emelianenko,Antonio Rodrigo Nogueira
"7' 5""",385 lbs.,Paulo Cesar Silva,Ikuhisa Minowa
"5' 10""",241 lbs.,Assuerio Silva,Cheick Kongo
"6' 1""",175 lbs.,Royce Gracie,Kazushi Sakuraba
"6' 0""",235 lbs.,Kazuyuki Fujita,Alistair Overeem
"5' 9""",205 lbs.,Mark Hughes,Alex Stiebling
"6' 3""",249 lbs.,Gary Goodridge,Gegard Mousasi
"5' 8""",205 lbs.,Igor Vovchanchyn,Kazuhiro Nakamura
"6' 4""",205 lbs.,Wesley Little,Jacob Noe
"5' 9""",145 lbs.,Dinis Paiva Jr.,Kyle Driscoll
--,205 lbs.,Jacob Noe,Wesley Little
"6' 1""",205 lbs.,Mark Coleman,Randy Couture
"6' 8""",--,Wes Shivers,Goldman Butler
--,--,Goldman Butler,Wes Shivers
"5' 8""",195 lbs.,Raou Raou,Bertrand Amoussou
"6' 0""",155 lbs.,Derek Getzel,Caros Fodor
"5' 8""",190 lbs.,Bertrand Amoussou,Raou Raou
"5' 9""",210 lbs.,Sergey Ignatov,Ricardo Arona
"5' 11""",205 lbs.,Hirotaka Yokoi,Quinton Jackson
"October 05, 2003","Saitama, Japan",Mirko Filipovic,Dos Caras Jr.
"July 29, 2001","Saitama, Japan",Tokimitsu Ishizawa,Ryan Gracie
"6' 1""",196 lbs.,Art Jimmerson,Royce Gracie
"6' 0""",250 lbs.,Hans Nijman,Kazuyuki Fujita
"August 19, 2001","Saitama, Japan",Mirko Filipovic,Kazuyuki Fujita
"6' 5""",280 lbs.,Yoshihiro Takayama,Don Frye
"6' 8""",265 lbs.,Tim Sylvia,Fedor Emelianenko
"December 31, 2002","Saitama, Japan",Mirko Filipovic,Kazuyuki Fujita
"June 08, 2003","Yokohama, Kanagawa, Japan",Fedor Emelianenko,Kazuyuki Fujita
"6' 8""",270 lbs.,Ricardo Morais,Tae Hyun Lee
"6' 4""",230 lbs.,Moti Horenstein,Mark Kerr
"April 29, 1999","Nagoya, Aichi, Japan",Nobuhiko Takada,Mark Coleman
"6' 3""",300 lbs.,Julian Sanchez,Mark Coleman
"6' 2""",221 lbs.,Maurice Smith,Rick Roufus
"6' 3""",235 lbs.,Pete Williams,Frank Mir
"6' 3""",230 lbs.,Brian Johnston,Dan Bobish
"6' 1""",241 lbs.,Pedro Rizzo,Fedor Emelianenko
"October 09, 2005","Rotterdam, Zuid-Holland, Netherlands",Mark Coleman,Milco Voorn
"November 24, 2002","Tokyo, Japan",Kazushi Sakuraba,Gilles Arsene
"6' 0""",215 lbs.,Rodney Faverus,Chalid Arrab
"6' 0""",199 lbs.,Ebenezer Fontes Braga,Fabricio Werdum
"5' 7""",145 lbs.,Eiji Mitsuoka,Nik Lentz
"6' 2""",225 lbs.,Daniel Gracie,Wataru Sakata
"6' 3""",260 lbs.,Wesley Correira,Antonio Silva
"6' 10""",265 lbs.,Semmy Schilt,Siala Siliga
"6' 0""",210 lbs.,Jason Suttie,Sergei Kharitonov
"6' 10""",265 lbs.,Gan McGee,Semmy Schilt
"6' 0""",185 lbs.,Kazuhiro Hamanaka,Ryan Gracie
"5' 11""",195 lbs.,Minoru Toyonaga,Egan Inoue
"5' 9""",205 lbs.,Mikhail Iloukhine,Quinton Jackson
"5' 11""",320 lbs.,Soichi Nishida,Enson Inoue
"September 10, 2006","Saitama, Japan",Mirko Filipovic,Josh Barnett
"6' 1""",215 lbs.,Branko Cikatic,Maurice Smith
"5' 11""",205 lbs.,Reza Nasri,Brian Johnston
"6' 4""",235 lbs.,Scott Fiedler,Brian Johnston
"5' 9""",190 lbs.,Gilles Arsene,Kazushi Sakuraba
"6' 1""",230 lbs.,Roman Zentsov,Mike Russow
--,185 lbs.,Stefan Klever,Gegard Mousasi
"5' 11""",225 lbs.,Tsuyoshi Kohsaka,Mark Hunt
"5' 7""",183 lbs.,Kyosuke Sasaki,Eiji Mitsuoka
