date,location,poss_winner,poss_loser
"September 09, 1994","Charlotte, North Carolina, USA",Steve Jennum,Harold Howard
"April 07, 1995","Charlotte, North Carolina, USA",Dan Severn,Dave Beneteau
"March 11, 1994","Denver, Colorado, USA",Royce Gracie,Patrick Smith
"December 16, 1994","Tulsa, Oklahoma, USA",Royce Gracie,Dan Severn
"December 16, 1995","Denver, Colorado, USA",Dan Severn,Oleg Taktarov
"May 17, 1996","Detroit, Michigan, USA",Dan Severn,Ken Shamrock
"February 16, 1996","San Juan, Puerto Rico",Don Frye,Gary Goodridge
"September 08, 1995","Buffalo, New York, USA",Marco Ruas,Paul Varelans
"September 20, 1996","Augusta, Georgia, USA",Scott Ferrozzo,David Abbott
"July 12, 1996","Birmingham, Alabama, USA",Mark Coleman,Don Frye
"February 07, 1997","Dothan, Alabama, USA",Mark Coleman,Dan Severn
"December 07, 1996","Birmingham, Alabama, USA",Don Frye,David Abbott
--,--,Frank Hamaker,Thaddeus Luster
"6' 3""",210 lbs.,Thaddeus Luster,Frank Hamaker
"5' 6""",240 lbs.,Andy Anderson,Jon Hess
"6' 7""",295 lbs.,Jon Hess,Andy Anderson
"July 27, 1997","Birmingham, Alabama, USA",Maurice Smith,Mark Coleman
"March 13, 1998","New Orleans, Louisiana, USA",Frank Shamrock,Igor Zinoviev
"May 15, 1998","Mobile, Alabama, USA",Frank Shamrock,Jeremy Horn
"October 17, 1997","Bay St. Louis, Mississippi, USA",Maurice Smith,David Abbott
"October 16, 1998","Sao Paulo, Brazil",Frank Shamrock,John Lober
"December 21, 1997","Yokohama, Kanagawa, Japan",Randy Couture,Maurice Smith
--,--,Francesco Maturi,Onassis Parungao
"May 30, 1997","Augusta, Georgia, USA",Vitor Belfort,David Abbott
"6' 2""",230 lbs.,Matt Andersen,Rafael Carino
"6' 8""",245 lbs.,Rafael Carino,Matt Andersen
"5' 11""",200 lbs.,Onassis Parungao,Francesco Maturi
"January 08, 1999","New Orleans, Louisiana, USA",Bas Rutten,Tsuyoshi Kohsaka
"6' 0""",185 lbs.,Justin Martin,Eric Martin
--,--,Eric Martin,Justin Martin
"May 07, 1999","Birmingham, Alabama, USA",Bas Rutten,Kevin Randleman
"July 16, 1999","Cedar Rapids, Iowa, USA",Maurice Smith,Marco Ruas
"March 05, 1999","Bay St. Louis, Mississippi, USA",Tito Ortiz,Guy Mezger
"April 14, 2000","Tokyo, Japan",Tito Ortiz,Wanderlei Silva
"September 24, 1999","Lake Charles, Louisiana, USA",Frank Shamrock,Tito Ortiz
"November 19, 1999","Chiba, Japan",Kevin Randleman,Pete Williams
"March 10, 2000","Lake Charles, Louisiana, USA",Tedd Williams,Steve Judson
"September 22, 2000","New Orleans, Louisiana, USA",Pedro Rizzo,Dan Severn
"June 09, 2000","Cedar Rapids, Iowa, USA",Kevin Randleman,Pedro Rizzo
"November 17, 2000","Atlantic City, New Jersey, USA",Randy Couture,Kevin Randleman
--,--,Adriano Santos,Tulio Palhares
--,--,Paulo Santos,Cesar Marscucci
--,--,Cesar Marscucci,Paulo Santos
"December 16, 2000","Tokyo, Japan",Tito Ortiz,Yuki Kondo
"May 04, 2001","Atlantic City, New Jersey, USA",Randy Couture,Pedro Rizzo
"6' 1""",170 lbs.,David Roberts,Marcelo Mello
--,180 lbs.,Tulio Palhares,Adriano Santos
"September 28, 2001","Las Vegas, Nevada, USA",Tito Ortiz,Vladimir Matyushenko
"June 29, 2001","East Rutherford, New Jersey, USA",Tito Ortiz,Elvis Sinosic
"6' 2""",200 lbs.,Joey Roberts,Sione Latu
"6' 0""",215 lbs.,Sione Latu,Joey Roberts
"February 23, 2001","Atlantic City, New Jersey, USA",Tito Ortiz,Evan Tanner
"November 02, 2001","Las Vegas, Nevada, USA",Randy Couture,Pedro Rizzo
"May 10, 2002","Bossier City, Louisiana, USA",Murilo Bustamante,Matt Lindland
"January 11, 2002","Uncasville, Connecticut, USA",Jens Pulver,BJ Penn
"March 22, 2002","Las Vegas, Nevada, USA",Josh Barnett,Randy Couture
"5' 7""",170 lbs.,Marcelo Mello,David Roberts
"September 27, 2002","Uncasville, Connecticut, USA",Ricco Rodriguez,Randy Couture
"November 22, 2002","Las Vegas, Nevada, USA",Tito Ortiz,Ken Shamrock
"July 13, 2002","London, England, United Kingdom",Matt Hughes,Carlos Newton
"June 22, 2002","Las Vegas, Nevada, USA",Chuck Liddell,Vitor Belfort
"June 06, 2003","Las Vegas, Nevada, USA",Randy Couture,Chuck Liddell
"February 28, 2003","Atlantic City, New Jersey, USA",Tim Sylvia,Ricco Rodriguez
"April 25, 2003","Miami, Florida, USA",Matt Hughes,Sean Sherk
"January 31, 2004","Las Vegas, Nevada, USA",Vitor Belfort,Randy Couture
"October 22, 2004","Atlantic City, New Jersey, USA",Tito Ortiz,Patrick Cote
"June 19, 2004","Las Vegas, Nevada, USA",Ken Shamrock,Kimo Leopoldo
"November 21, 2003","Uncasville, Connecticut, USA",Matt Hughes,Frank Trigg
"April 02, 2004","Las Vegas, Nevada, USA",Chuck Liddell,Tito Ortiz
"September 26, 2003","Las Vegas, Nevada, USA",Randy Couture,Tito Ortiz
"August 21, 2004","Las Vegas, Nevada, USA",Randy Couture,Vitor Belfort
"February 05, 2005","Las Vegas, Nevada, USA",Tito Ortiz,Vitor Belfort
"April 09, 2005","Las Vegas, Nevada, USA",Rich Franklin,Ken Shamrock
"August 06, 2005","Las Vegas, Nevada, USA",Nate Marquardt,Ivan Salaverry
"June 04, 2005","Atlantic City, New Jersey, USA",Andrei Arlovski,Justin Eilers
"November 05, 2005","Las Vegas, Nevada, USA",Diego Sanchez,Nick Diaz
"October 03, 2005","Las Vegas, Nevada, USA",David Loiseau,Evan Tanner
"October 07, 2005","Uncasville, Connecticut, USA",Andrei Arlovski,Paul Buentello
"November 19, 2005","Las Vegas, Nevada, USA",Rich Franklin,Nate Quarry
"August 20, 2005","Las Vegas, Nevada, USA",Chuck Liddell,Jeremy Horn
"April 16, 2005","Las Vegas, Nevada, USA",Chuck Liddell,Randy Couture
"January 16, 2006","Las Vegas, Nevada, USA",Tim Sylvia,Assuerio Silva
"February 04, 2006","Las Vegas, Nevada, USA",Chuck Liddell,Randy Couture
"March 04, 2006","Las Vegas, Nevada, USA",Rich Franklin,David Loiseau
"April 15, 2006","Anaheim, California, USA",Tim Sylvia,Andrei Arlovski
"June 28, 2006","Las Vegas, Nevada, USA",Jonathan Goulet,Luke Cummo
"May 27, 2006","Los Angeles, California, USA",Matt Hughes,Royce Gracie
"April 06, 2006","Las Vegas, Nevada, USA",Stephan Bonnar,Keith Jardine
"June 24, 2006","Las Vegas, Nevada, USA",Kenny Florian,Sam Stout
"July 08, 2006","Las Vegas, Nevada, USA",Tim Sylvia,Andrei Arlovski
"August 17, 2006","Las Vegas, Nevada, USA",Diego Sanchez,Karo Parisyan
"September 23, 2006","Anaheim, California, USA",Matt Hughes,BJ Penn
"August 26, 2006","Las Vegas, Nevada, USA",Chuck Liddell,Renato Sobral
"October 14, 2006","Las Vegas, Nevada, USA",Anderson Silva,Rich Franklin
"October 10, 2006","Hollywood, Florida, USA",Tito Ortiz,Ken Shamrock
"November 11, 2006","Las Vegas, Nevada, USA",Matt Serra,Chris Lytle
"February 03, 2007","Las Vegas, Nevada, USA",Anderson Silva,Travis Lutter
"December 30, 2006","Las Vegas, Nevada, USA",Chuck Liddell,Tito Ortiz
"November 18, 2006","Sacramento, California, USA",Georges St-Pierre,Matt Hughes
"6' 3""",235 lbs.,Icho Larenas,Tom Murphy
"January 25, 2007","Hollywood, Florida, USA",Rashad Evans,Sean Salmon
"March 03, 2007","Columbus, Ohio, USA",Randy Couture,Tim Sylvia
"6' 2""",227 lbs.,Tom Murphy,Icho Larenas
"December 13, 2006","San Diego, California, USA",Diego Sanchez,Joe Riggs
"April 05, 2007","Las Vegas, Nevada, USA",Joe Stevenson,Melvin Guillard
"April 07, 2007","Houston, Texas, USA",Matt Serra,Georges St-Pierre
"April 21, 2007","Manchester, England, United Kingdom",Gabriel Gonzaga,Mirko Filipovic
"May 26, 2007","Las Vegas, Nevada, USA",Quinton Jackson,Chuck Liddell
"July 07, 2007","Sacramento, California, USA",Kenny Florian,Alvin Robinson
"June 16, 2007","Belfast, Northern Ireland, United Kingdom",Rich Franklin,Yushin Okami
"June 23, 2007","Las Vegas, Nevada, USA",BJ Penn,Jens Pulver
"June 12, 2007","Hollywood, Florida, USA",Spencer Fisher,Sam Stout
"September 19, 2007","Las Vegas, Nevada, USA",Kenny Florian,Din Thomas
"September 08, 2007","London, England, United Kingdom",Quinton Jackson,Dan Henderson
"August 25, 2007","Las Vegas, Nevada, USA",Randy Couture,Gabriel Gonzaga
"September 22, 2007","Anaheim, California, USA",Keith Jardine,Chuck Liddell
"October 20, 2007","Cincinnati, Ohio, USA",Anderson Silva,Rich Franklin
"November 17, 2007","Newark, New Jersey, USA",Rashad Evans,Michael Bisping
"January 19, 2008","Newcastle, England, United Kingdom",BJ Penn,Joe Stevenson
"December 08, 2007","Las Vegas, Nevada, USA",Roger Huerta,Clay Guida
"December 29, 2007","Las Vegas, Nevada, USA",Georges St-Pierre,Matt Hughes
"February 02, 2008","Las Vegas, Nevada, USA",Antonio Rodrigo Nogueira,Tim Sylvia
"January 23, 2008","Las Vegas, Nevada, USA",Mike Swick,Joshua Burkman
"March 01, 2008","Columbus, Ohio, USA",Anderson Silva,Dan Henderson
"April 02, 2008","Broomfield, Colorado, USA",Kenny Florian,Joe Lauzon
"June 07, 2008","London, England, United Kingdom",Thiago Alves,Matt Hughes
"April 19, 2008","Montreal, Quebec, Canada",Georges St-Pierre,Matt Serra
"May 24, 2008","Las Vegas, Nevada, USA",BJ Penn,Sean Sherk
"July 05, 2008","Las Vegas, Nevada, USA",Forrest Griffin,Quinton Jackson
"June 21, 2008","Las Vegas, Nevada, USA",Kendall Grove,Evan Tanner
"August 09, 2008","Minneapolis, Minnesota, USA",Georges St-Pierre,Jon Fitch
"July 19, 2008","Las Vegas, Nevada, USA",Anderson Silva,James Irvin
"October 18, 2008","Birmingham, England, United Kingdom",Michael Bisping,Chris Leben
"September 17, 2008","Omaha, Nebraska, USA",Nate Diaz,Josh Neer
"November 15, 2008","Las Vegas, Nevada, USA",Brock Lesnar,Randy Couture
"September 06, 2008","Atlanta, Georgia, USA",Rashad Evans,Chuck Liddell
"December 13, 2008","Las Vegas, Nevada, USA",Efrain Escudero,Phillipe Nover
"October 25, 2008","Rosemont, Illinois, USA",Anderson Silva,Patrick Cote
"January 17, 2009","Dublin, Leinster, Ireland",Dan Henderson,Rich Franklin
"December 10, 2008","Fayetteville, North Carolina, USA",Josh Koscheck,Yoshiyuki Yoshida
"December 27, 2008","Las Vegas, Nevada, USA",Rashad Evans,Forrest Griffin
"February 07, 2009","Tampa, Florida, USA",Joe Lauzon,Jeremy Stephens
"March 07, 2009","Columbus, Ohio, USA",Quinton Jackson,Keith Jardine
"April 01, 2009","Nashville, Tennessee, USA",Martin Kampmann,Carlos Condit
"January 31, 2009","Las Vegas, Nevada, USA",Georges St-Pierre,BJ Penn
"February 21, 2009","London, England, United Kingdom",Diego Sanchez,Joe Stevenson
"May 23, 2009","Las Vegas, Nevada, USA",Lyoto Machida,Rashad Evans
"April 18, 2009","Montreal, Quebec, Canada",Anderson Silva,Thales Leites
"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",Rich Franklin,Wanderlei Silva
"September 16, 2009","Oklahoma City, Oklahoma, USA",Nate Diaz,Melvin Guillard
"July 11, 2009","Las Vegas, Nevada, USA",Jon Fitch,Paulo Thiago
"August 29, 2009","Portland, Oregon, USA",Antonio Rodrigo Nogueira,Randy Couture
"October 24, 2009","Los Angeles, California, USA",Lyoto Machida,Mauricio Rua
"September 19, 2009","Dallas, Texas, USA",Vitor Belfort,Rich Franklin
"November 21, 2009","Las Vegas, Nevada, USA",Forrest Griffin,Tito Ortiz
"November 14, 2009","Manchester, England, United Kingdom",Randy Couture,Brandon Vera
"August 08, 2009","Philadelphia, Pennsylvania, USA",BJ Penn,Kenny Florian
"June 20, 2009","Las Vegas, Nevada, USA",Diego Sanchez,Clay Guida
"December 05, 2009","Las Vegas, Nevada, USA",Roy Nelson,Brendan Schaub
"December 12, 2009","Memphis, Tennessee, USA",BJ Penn,Diego Sanchez
"January 11, 2010","Fairfax, Virginia, USA",Gray Maynard,Nate Diaz
"January 02, 2010","Las Vegas, Nevada, USA",Rashad Evans,Thiago Silva
"February 20, 2010","Sydney, New South Wales, Australia",Cain Velasquez,Antonio Rodrigo Nogueira
"February 06, 2010","Las Vegas, Nevada, USA",Randy Couture,Mark Coleman
"March 21, 2010","Broomfield, Colorado, USA",Jon Jones,Brandon Vera
"March 31, 2010","Charlotte, North Carolina, USA",Kenny Florian,Takanori Gomi
"April 10, 2010","Abu Dhabi, United Arab Emirates",Anderson Silva,Demian Maia
"March 27, 2010","Newark, New Jersey, USA",Georges St-Pierre,Dan Hardy
"June 12, 2010","Vancouver, British Columbia, Canada",Rich Franklin,Chuck Liddell
"May 08, 2010","Montreal, Quebec, Canada",Mauricio Rua,Lyoto Machida
"June 19, 2010","Las Vegas, Nevada, USA",Court McGee,Kris McCray
"May 29, 2010","Las Vegas, Nevada, USA",Rashad Evans,Quinton Jackson
"August 01, 2010","San Diego, California, USA",Jon Jones,Vladimir Matyushenko
"July 03, 2010","Las Vegas, Nevada, USA",Brock Lesnar,Shane Carwin
"August 28, 2010","Boston, Massachusetts, USA",Frankie Edgar,BJ Penn
"September 25, 2010","Indianapolis, Indiana, USA",Frank Mir,Mirko Filipovic
"October 16, 2010","London, England, United Kingdom",Michael Bisping,Yoshihiro Akiyama
"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Yushin Okami,Nate Marquardt
"September 15, 2010","Austin, Texas, USA",Nate Marquardt,Rousimar Palhares
"August 07, 2010","Oakland, California, USA",Anderson Silva,Chael Sonnen
"November 20, 2010","Auburn Hills, Michigan, USA",Quinton Jackson,Lyoto Machida
"December 11, 2010","Montreal, Quebec, Canada",Georges St-Pierre,Josh Koscheck
"October 23, 2010","Anaheim, California, USA",Cain Velasquez,Brock Lesnar
"December 04, 2010","Las Vegas, Nevada, USA",Jonathan Brookins,Michael Johnson
"January 01, 2011","Las Vegas, Nevada, USA",Frankie Edgar,Gray Maynard
"February 26, 2011","Sydney, New South Wales, Australia",BJ Penn,Jon Fitch
"January 22, 2011","Killeen, Texas, USA",Melvin Guillard,Evan Dunham
"March 26, 2011","Seattle, Washington, USA",Phil Davis,Rogerio Nogueira
"March 19, 2011","Newark, New Jersey, USA",Jon Jones,Mauricio Rua
"February 05, 2011","Las Vegas, Nevada, USA",Anderson Silva,Vitor Belfort
"April 30, 2011","Toronto, Ontario, Canada",Georges St-Pierre,Jake Shields
"March 03, 2011","Louisville, Kentucky, USA",Diego Sanchez,Martin Kampmann
"May 28, 2011","Las Vegas, Nevada, USA",Quinton Jackson,Matt Hamill
"June 11, 2011","Vancouver, British Columbia, Canada",Junior Dos Santos,Shane Carwin
"June 04, 2011","Las Vegas, Nevada, USA",Tony Ferguson,Ramsey Nijem
"June 26, 2011","Pittsburgh, Pennsylvania, USA",Cheick Kongo,Pat Barry
"August 14, 2011","Milwaukee, Wisconsin, USA",Chris Lytle,Dan Hardy
"August 27, 2011","Rio de Janeiro, Brazil",Anderson Silva,Yushin Okami
"July 02, 2011","Las Vegas, Nevada, USA",Dominick Cruz,Urijah Faber
"September 17, 2011","New Orleans, Louisiana, USA",Jake Ellenberger,Jake Shields
"October 08, 2011","Houston, Texas, USA",Frankie Edgar,Gray Maynard
"August 06, 2011","Philadelphia, Pennsylvania, USA",Rashad Evans,Tito Ortiz
"September 24, 2011","Denver, Colorado, USA",Jon Jones,Quinton Jackson
"October 29, 2011","Las Vegas, Nevada, USA",Nick Diaz,BJ Penn
"November 12, 2011","Anaheim, California, USA",Junior Dos Santos,Cain Velasquez
"November 19, 2011","San Jose, California, USA",Dan Henderson,Mauricio Rua
"October 01, 2011","Washington, DC, USA",Dominick Cruz,Demetrious Johnson
"November 05, 2011","Birmingham, England, United Kingdom",Mark Munoz,Chris Leben
"December 03, 2011","Las Vegas, Nevada, USA",Michael Bisping,Jason Miller
"December 10, 2011","Toronto, Ontario, Canada",Jon Jones,Lyoto Machida
"January 14, 2012","Rio de Janeiro, Brazil",Jose Aldo,Chad Mendes
"December 30, 2011","Las Vegas, Nevada, USA",Alistair Overeem,Brock Lesnar
"January 20, 2012","Nashville, Tennessee, USA",Jim Miller,Melvin Guillard
"February 04, 2012","Las Vegas, Nevada, USA",Carlos Condit,Nick Diaz
"January 28, 2012","Chicago, Illinois, USA",Rashad Evans,Phil Davis
"February 25, 2012","Saitama, Japan",Benson Henderson,Frankie Edgar
"March 02, 2012","Sydney, New South Wales, Australia",Martin Kampmann,Thiago Alves
"February 15, 2012","Omaha, Nebraska, USA",Jake Ellenberger,Diego Sanchez
"April 14, 2012","Stockholm, Sweden",Alexander Gustafsson,Thiago Silva
"May 05, 2012","East Rutherford, New Jersey, USA",Nate Diaz,Jim Miller
"April 21, 2012","Atlanta, Georgia, USA",Jon Jones,Rashad Evans
"May 15, 2012","Fairfax, Virginia, USA",Chan Sung Jung,Dustin Poirier
"June 01, 2012","Las Vegas, Nevada, USA",Martin Kampmann,Jake Ellenberger
"June 22, 2012","Atlantic City, New Jersey, USA",Gray Maynard,Clay Guida
"June 08, 2012","Sunrise, Florida, USA",Demetrious Johnson,Ian McCall
"June 23, 2012","Belo Horizonte, Minas Gerais, Brazil",Rich Franklin,Wanderlei Silva
"May 26, 2012","Las Vegas, Nevada, USA",Junior Dos Santos,Frank Mir
"July 11, 2012","San Jose, California, USA",Chris Weidman,Mark Munoz
"July 07, 2012","Las Vegas, Nevada, USA",Anderson Silva,Chael Sonnen
"July 21, 2012","Calgary, Alberta, Canada",Renan Barao,Urijah Faber
"August 04, 2012","Los Angeles, California, USA",Mauricio Rua,Brandon Vera
"August 11, 2012","Denver, Colorado, USA",Benson Henderson,Frankie Edgar
"September 22, 2012","Toronto, Ontario, Canada",Jon Jones,Vitor Belfort
"October 05, 2012","Minneapolis, Minnesota, USA",Antonio Silva,Travis Browne
"September 29, 2012","Nottingham, England, United Kingdom",Stefan Struve,Stipe Miocic
"November 10, 2012","Macau, China",Cung Le,Rich Franklin
"October 13, 2012","Rio de Janeiro, Brazil",Anderson Silva,Stephan Bonnar
"November 17, 2012","Montreal, Quebec, Canada",Georges St-Pierre,Carlos Condit
"December 14, 2012","Gold Coast, Queensland, Australia",Ross Pearson,George Sotiropoulos
"December 08, 2012","Seattle, Washington, USA",Benson Henderson,Nate Diaz
"December 15, 2012","Las Vegas, Nevada, USA",Roy Nelson,Matt Mitrione
"January 26, 2013","Chicago, Illinois, USA",Demetrious Johnson,John Dodson
"December 29, 2012","Las Vegas, Nevada, USA",Cain Velasquez,Junior Dos Santos
"January 19, 2013","Sao Paulo, Brazil",Vitor Belfort,Michael Bisping
"February 23, 2013","Anaheim, California, USA",Ronda Rousey,Liz Carmouche
"February 16, 2013","London, England, United Kingdom",Renan Barao,Michael McDonald
"February 02, 2013","Las Vegas, Nevada, USA",Jose Aldo,Frankie Edgar
"March 16, 2013","Montreal, Quebec, Canada",Georges St-Pierre,Nick Diaz
"March 02, 2013","Saitama, Japan",Wanderlei Silva,Brian Stann
"April 13, 2013","Las Vegas, Nevada, USA",Urijah Faber,Scott Jorgensen
"April 06, 2013","Stockholm, Sweden",Gegard Mousasi,Ilir Latifi
"May 25, 2013","Las Vegas, Nevada, USA",Cain Velasquez,Antonio Silva
"April 27, 2013","Newark, New Jersey, USA",Jon Jones,Chael Sonnen
"June 08, 2013","Fortaleza, Ceara, Brazil",Fabricio Werdum,Antonio Rodrigo Nogueira
"July 06, 2013","Las Vegas, Nevada, USA",Chris Weidman,Anderson Silva
"April 20, 2013","San Jose, California, USA",Benson Henderson,Gilbert Melendez
"July 27, 2013","Seattle, Washington, USA",Demetrious Johnson,John Moraga
"June 15, 2013","Winnipeg, Manitoba, Canada",Rashad Evans,Dan Henderson
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",Vitor Belfort,Luke Rockhold
"August 17, 2013","Boston, Massachusetts, USA",Chael Sonnen,Mauricio Rua
"August 31, 2013","Milwaukee, Wisconsin, USA",Anthony Pettis,Benson Henderson
"August 03, 2013","Rio de Janeiro, Brazil",Jose Aldo,Chan Sung Jung
"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil",Glover Teixeira,Ryan Bader
"August 28, 2013","Indianapolis, Indiana, USA",Carlos Condit,Martin Kampmann
"September 21, 2013","Toronto, Ontario, Canada",Jon Jones,Alexander Gustafsson
"October 19, 2013","Houston, Texas, USA",Cain Velasquez,Junior Dos Santos
"October 09, 2013","Barueri, Sao Paulo, Brazil",Jake Shields,Demian Maia
"November 30, 2013","Las Vegas, Nevada, USA",Nate Diaz,Gray Maynard
"November 16, 2013","Las Vegas, Nevada, USA",Georges St-Pierre,Johny Hendricks
"November 06, 2013","Fort Campbell, Kentucky, USA",Tim Kennedy,Rafael Natal
"December 06, 2013","Brisbane, Queensland, Australia",Mark Hunt,Antonio Silva
"October 26, 2013","Manchester, England, United Kingdom",Lyoto Machida,Mark Munoz
"December 14, 2013","Sacramento, California, USA",Demetrious Johnson,Joseph Benavidez
"January 15, 2014","Duluth, Georgia, USA",Luke Rockhold,Constantinos Philippou
"December 28, 2013","Las Vegas, Nevada, USA",Chris Weidman,Anderson Silva
"January 04, 2014","Singapore, Singapore",Tarec Saffiedine,Hyun Gyu Lim
"February 01, 2014","Newark, New Jersey, USA",Renan Barao,Urijah Faber
"January 25, 2014","Chicago, Illinois, USA",Benson Henderson,Josh Thomson
"November 09, 2013","Goiania, Goias, Brazil",Vitor Belfort,Dan Henderson
"February 22, 2014","Las Vegas, Nevada, USA",Ronda Rousey,Sara McMann
"February 15, 2014","Jaragua do Sul, Santa Catarina, Brazil",Lyoto Machida,Gegard Mousasi
"March 23, 2014","Natal, Rio Grande do Norte, Brazil",Dan Henderson,Mauricio Rua
"March 01, 2014","Macau, China",Dong Hyun Kim,John Hathaway
"March 08, 2014","London, England, United Kingdom",Alexander Gustafsson,Jimi Manuwa
"April 11, 2014","Abu Dhabi, United Arab Emirates",Roy Nelson,Antonio Rodrigo Nogueira
"March 15, 2014","Dallas, Texas, USA",Johny Hendricks,Robbie Lawler
"April 19, 2014","Orlando, Florida, USA",Fabricio Werdum,Travis Browne
"April 16, 2014","Quebec City, Quebec, Canada",Tim Kennedy,Michael Bisping
"May 10, 2014","Cincinnati, Ohio, USA",Matt Brown,Erick Silva
"May 24, 2014","Las Vegas, Nevada, USA",TJ Dillashaw,Renan Barao
"May 31, 2014","Sao Paulo, Brazil",Stipe Miocic,Fabio Maldonado
"April 26, 2014","Baltimore, Maryland, USA",Jon Jones,Glover Teixeira
"May 31, 2014","Berlin, Germany",Gegard Mousasi,Mark Munoz
"June 14, 2014","Vancouver, British Columbia, Canada",Demetrious Johnson,Ali Bagautinov
"June 07, 2014","Albuquerque, New Mexico, USA",Benson Henderson,Rustam Khabilov
"July 05, 2014","Las Vegas, Nevada, USA",Chris Weidman,Lyoto Machida
"June 28, 2014","Auckland, New Zealand",Nate Marquardt,James Te Huna
"June 28, 2014","San Antonio, Texas, USA",Cub Swanson,Jeremy Stephens
"July 16, 2014","Atlantic City, New Jersey, USA",Donald Cerrone,Jim Miller
"July 19, 2014","Dublin, Leinster, Ireland",Conor McGregor,Diego Brandao
"August 16, 2014","Bangor, Maine, USA",Ryan Bader,Ovince Saint Preux
"July 06, 2014","Las Vegas, Nevada, USA",Frankie Edgar,BJ Penn
"August 23, 2014","Tulsa, Oklahoma, USA",Rafael Dos Anjos,Benson Henderson
"August 23, 2014","Macau, China",Michael Bisping,Cung Le
"July 26, 2014","San Jose, California, USA",Robbie Lawler,Matt Brown
"September 05, 2014","Ledyard, Connecticut, USA",Jacare Souza,Gegard Mousasi
"August 30, 2014","Sacramento, California, USA",TJ Dillashaw,Joe Soto
"September 27, 2014","Las Vegas, Nevada, USA",Demetrious Johnson,Chris Cariaso
"September 13, 2014","Brasilia, Distrito Federal, Brazil",Andrei Arlovski,Antonio Silva
"November 07, 2014","Sydney, New South Wales, Australia",Luke Rockhold,Michael Bisping
"October 04, 2014","Halifax, Nova Scotia, Canada",Rory MacDonald,Tarec Saffiedine
"October 25, 2014","Rio de Janeiro, Brazil",Jose Aldo,Chad Mendes
"September 20, 2014","Saitama, Japan",Mark Hunt,Roy Nelson
"October 04, 2014","Stockholm, Sweden",Rick Story,Gunnar Nelson
"November 15, 2014","Mexico City, Distrito Federal, Mexico",Fabricio Werdum,Mark Hunt
"November 08, 2014","Uberlandia, Minas Gerais, Brazil",Ovince Saint Preux,Mauricio Rua
"December 06, 2014","Las Vegas, Nevada, USA",Robbie Lawler,Johny Hendricks
"November 22, 2014","Austin, Texas, USA",Frankie Edgar,Cub Swanson
"January 03, 2015","Las Vegas, Nevada, USA",Jon Jones,Daniel Cormier
"December 12, 2014","Las Vegas, Nevada, USA",Carla Esparza,Rose Namajunas
"December 13, 2014","Phoenix, Arizona, USA",Junior Dos Santos,Stipe Miocic
"December 20, 2014","Barueri, Sao Paulo, Brazil",Lyoto Machida,CB Dollaway
"January 18, 2015","Boston, Massachusetts, USA",Conor McGregor,Dennis Siver
"January 24, 2015","Stockholm, Sweden",Anthony Johnson,Alexander Gustafsson
"January 31, 2015","Las Vegas, Nevada, USA",Anderson Silva,Nick Diaz
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",Frank Mir,Antonio Silva
"February 14, 2015","Broomfield, Colorado, USA",Benson Henderson,Brandon Thatch
"April 04, 2015","Fairfax, Virginia, USA",Chad Mendes,Ricardo Lamas
"February 28, 2015","Los Angeles, California, USA",Ronda Rousey,Cat Zingano
"March 14, 2015","Dallas, Texas, USA",Rafael Dos Anjos,Anthony Pettis
"March 21, 2015","Rio de Janeiro, Brazil",Demian Maia,Ryan LaFlare
"April 25, 2015","Montreal, Quebec, Canada",Demetrious Johnson,Kyoji Horiguchi
"April 11, 2015","Krakow, Poland",Mirko Filipovic,Gabriel Gonzaga
"April 18, 2015","Newark, New Jersey, USA",Luke Rockhold,Lyoto Machida
"May 16, 2015","Manila, Philippines",Frankie Edgar,Urijah Faber
"May 09, 2015","Adelaide, South Australia, Australia",Stipe Miocic,Mark Hunt
"June 06, 2015","New Orleans, Louisiana, USA",Dan Henderson,Tim Boetsch
"June 13, 2015","Mexico City, Distrito Federal, Mexico",Fabricio Werdum,Cain Velasquez
"May 23, 2015","Las Vegas, Nevada, USA",Daniel Cormier,Anthony Johnson
"June 20, 2015","Berlin, Berlin, Germany",Joanna Jedrzejczyk,Jessica Penne
"June 27, 2015","Hollywood, Florida, USA",Yoel Romero,Lyoto Machida
"May 30, 2015","Goiania, Goias, Brazil",Carlos Condit,Thiago Alves
"July 11, 2015","Las Vegas, Nevada, USA",Conor McGregor,Chad Mendes
"July 25, 2015","Chicago, Illinois, USA",TJ Dillashaw,Renan Barao
"July 12, 2015","Las Vegas, Nevada, USA",Stephen Thompson,Jake Ellenberger
"July 18, 2015","Glasgow, Scotland, United Kingdom",Michael Bisping,Thales Leites
"July 15, 2015","San Diego, California, USA",Frank Mir,Todd Duffee
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Ronda Rousey,Bethe Correia
"August 23, 2015","Saskatoon, Saskatchewan, Canada",Max Holloway,Charles Oliveira
"August 08, 2015","Nashville, Tennessee, USA",Glover Teixeira,Ovince Saint Preux
"October 03, 2015","Houston, Texas, USA",Daniel Cormier,Alexander Gustafsson
"September 26, 2015","Saitama, Japan",Josh Barnett,Roy Nelson
